Algorithme,Array Type,Array Size,Avg Comparisons,Avg Swaps,Avg Time (ms)
Selection Sort,Random,1000,499500.0,2000.0,109.82723236083984
Bubble Sort,Random,1000,499500.0,510088.0,182.9967975616455
Insertion Sort (Exchanges),Random,1000,256034.0,510088.0,129.76503372192383
Insertion Sort (Shifting),Random,1000,255044.0,256043.0,103.4280776977539
Selection Sort,Ascending,1000,499500.0,2000.0,116.13187789916992
Bubble Sort,Ascending,1000,499500.0,0.0,129.77819442749023
Insertion Sort (Exchanges),Ascending,1000,999.0,0.0,0.0
Insertion Sort (Shifting),Ascending,1000,0.0,999.0,0.0
Selection Sort,Descending,1000,499500.0,2000.0,102.93436050415039
Bubble Sort,Descending,1000,499500.0,999000.0,233.14447402954102
Insertion Sort (Exchanges),Descending,1000,499500.0,999000.0,256.5889358520508
Insertion Sort (Shifting),Descending,1000,499500.0,500499.0,197.3970890045166
Selection Sort,Random,5000,12497500.0,10000.0,2758.1772804260254
Bubble Sort,Random,5000,12497500.0,12472966.0,5290.787935256958
Insertion Sort (Exchanges),Random,5000,6241472.0,12472966.0,3225.092124938965
Insertion Sort (Shifting),Random,5000,6236483.0,6241482.0,2580.3731441497803
Selection Sort,Ascending,5000,12497500.0,10000.0,2992.1703338623047
Bubble Sort,Ascending,5000,12497500.0,0.0,3042.222499847412
Insertion Sort (Exchanges),Ascending,5000,4999.0,0.0,0.0
Insertion Sort (Shifting),Ascending,5000,0.0,4999.0,4.157018661499023
Selection Sort,Descending,5000,12497500.0,10000.0,2603.415584564209
Bubble Sort,Descending,5000,12497500.0,24995000.0,6658.550262451172
Insertion Sort (Exchanges),Descending,5000,12497500.0,24995000.0,6642.473888397217
Insertion Sort (Shifting),Descending,5000,12497500.0,12502499.0,5250.612497329712
Selection Sort,Random,10000,49995000.0,20000.0,10665.808010101318
Bubble Sort,Random,10000,49995000.0,49727972.0,19707.681369781494
Insertion Sort (Exchanges),Random,10000,24873977.0,49727972.0,11319.309329986572
Insertion Sort (Shifting),Random,10000,24863986.0,24873985.0,9771.508741378784
Selection Sort,Ascending,10000,49995000.0,20000.0,10034.398078918457
Bubble Sort,Ascending,10000,49995000.0,0.0,11336.072969436646
Insertion Sort (Exchanges),Ascending,10000,9999.0,0.0,3.8580894470214844
Insertion Sort (Shifting),Ascending,10000,0.0,9999.0,2.379131317138672
Selection Sort,Descending,10000,49995000.0,20000.0,9545.776653289795
Bubble Sort,Descending,10000,49995000.0,99990000.0,22854.55312728882
Insertion Sort (Exchanges),Descending,10000,49995000.0,99990000.0,23584.234714508057
Insertion Sort (Shifting),Descending,10000,49995000.0,50004999.0,18851.95245742798
