algorithm,str1,str2,function,time,memory,result
recursive,ABB,CBB,lcs_recursive,0.20214200019836426,0.0,BB
memoized,ABB,CBB,<lambda>,0.20192289352416992,0.0,BB
dynamic,ABB,CBB,lcs_dynamic,0.20169782638549805,0.0,BB
recursive,BBDAA,DDBAD,lcs_recursive,0.2014002799987793,0.0,DA
memoized,BBDAA,DDBAD,<lambda>,0.20166850090026855,0.0,DA
dynamic,BBDAA,DDBAD,lcs_dynamic,0.20202398300170898,0.0,DA
recursive,BBBCAA,CDCBBB,lcs_recursive,0.20211243629455566,0.0,BBB
memoized,BBBCAA,CDCBBB,<lambda>,0.20163702964782715,0.0,BBB
dynamic,BBBCAA,CDCBBB,lcs_dynamic,0.20209002494812012,0.0,BBB
recursive,ABCADBDC,DABACDDC,lcs_recursive,0.2014148235321045,0.0,ABADDC
memoized,ABCADBDC,DABACDDC,<lambda>,0.20118498802185059,0.0,ABADDC
dynamic,ABCADBDC,DABACDDC,lcs_dynamic,0.20198702812194824,0.0,ABADDC
recursive,BCCBDACDBB,BACBCCBDCA,lcs_recursive,0.2047576904296875,0.0,BCCBDC
memoized,BCCBDACDBB,BACBCCBDCA,<lambda>,0.20224905014038086,0.0078125,BCCBDC
dynamic,BCCBDACDBB,BACBCCBDCA,lcs_dynamic,0.2017972469329834,0.00390625,BCCBDC
recursive,BCBBDCBCBABAD,BBDDBBACBCCBA,lcs_recursive,0.23134112358093262,0.0,BBDBBABA
memoized,BCBBDCBCBABAD,BBDDBBACBCCBA,<lambda>,0.20231294631958008,0.0,BBDBBABA
dynamic,BCBBDCBCBABAD,BBDDBBACBCCBA,lcs_dynamic,0.20208072662353516,0.00390625,BBDBBABA
recursive,ACABCDDBBDBABDA,AABABCDBBBACABD,lcs_recursive,0.27403807640075684,0.0,AABCDBBBABD
memoized,ACABCDDBBDBABDA,AABABCDBBBACABD,<lambda>,0.202376127243042,0.00390625,AABCDBBBABD
dynamic,ACABCDDBBDBABDA,AABABCDBBBACABD,lcs_dynamic,0.20202922821044922,0.0,AABCDBBBABD
recursive,BCCBDABCCCBBABDABACB,CDCBADADCDBBDACACBBB,lcs_recursive,14.378750801086426,0.00390625,CCBDACBBDAACB
memoized,BCCBDABCCCBBABDABACB,CDCBADADCDBBDACACBBB,<lambda>,0.20221257209777832,0.0078125,CCBDACBBDAACB
dynamic,BCCBDABCCCBBABDABACB,CDCBADADCDBBDACACBBB,lcs_dynamic,0.20196533203125,0.00390625,CCBDACBBDAACB
