id_test,function_name,array_length,comparison,time,space
0,sequantial_search,1000,1000,0.20150017738342285,0.0
0,advanced_sequantial_search,1000,1662,0.20131587982177734,0.0
0,binary_search,1000,28,0.2017197608947754,0.0
1,sequantial_search,1000,1000,0.20214366912841797,0.0
1,advanced_sequantial_search,1000,1660,0.2020564079284668,0.0
1,binary_search,1000,28,0.2022237777709961,0.0
2,sequantial_search,1000,1000,0.2035534381866455,0.0
2,advanced_sequantial_search,1000,1494,0.20233416557312012,0.0
2,binary_search,1000,28,0.20237135887145996,0.0
3,sequantial_search,1000,1000,0.20200276374816895,0.0
3,advanced_sequantial_search,1000,1814,0.20386099815368652,0.0
3,binary_search,1000,28,0.202833890914917,0.0
4,sequantial_search,1000,1000,0.20160889625549316,0.0
4,advanced_sequantial_search,1000,1114,0.20286917686462402,0.0
4,binary_search,1000,28,0.20221924781799316,0.0
5,sequantial_search,21000,18240,0.20873475074768066,0.0
5,advanced_sequantial_search,21000,36479,0.22611069679260254,0.0
5,binary_search,21000,32,0.20266342163085938,0.0
6,sequantial_search,21000,21000,0.20969009399414062,0.0
6,advanced_sequantial_search,21000,33564,0.22501850128173828,0.0
6,binary_search,21000,40,0.2015836238861084,0.0
7,sequantial_search,21000,21000,0.2096261978149414,0.0
7,advanced_sequantial_search,21000,26646,0.22188830375671387,0.0
7,binary_search,21000,43,0.20188498497009277,0.0
8,sequantial_search,21000,21000,0.21029877662658691,0.0
8,advanced_sequantial_search,21000,29358,0.21109294891357422,0.00390625
8,binary_search,21000,43,0.2019352912902832,0.0
9,sequantial_search,21000,438,0.20217227935791016,0.0
9,advanced_sequantial_search,21000,875,0.20162582397460938,0.0
9,binary_search,21000,41,0.20217013359069824,0.0
10,sequantial_search,41000,35048,0.22323274612426758,0.0
10,advanced_sequantial_search,41000,70095,0.23163533210754395,0.0
10,binary_search,41000,38,0.2019484043121338,0.0
11,sequantial_search,41000,41000,0.21282291412353516,0.0
11,advanced_sequantial_search,41000,78806,0.21911239624023438,0.0
11,binary_search,41000,46,0.2016463279724121,0.0
12,sequantial_search,41000,41000,0.220611572265625,0.0
12,advanced_sequantial_search,41000,8710,0.2083265781402588,0.0
12,binary_search,41000,43,0.2018890380859375,0.0
13,sequantial_search,41000,41000,0.2170276641845703,0.0
13,advanced_sequantial_search,41000,42612,0.21479225158691406,0.0
13,binary_search,41000,43,0.20141148567199707,0.0
14,sequantial_search,41000,41000,0.21271753311157227,0.0
14,advanced_sequantial_search,41000,37084,0.21303725242614746,0.0
14,binary_search,41000,46,0.20131635665893555,0.0
15,sequantial_search,61000,61000,0.22997045516967773,0.0
15,advanced_sequantial_search,61000,22746,0.21900701522827148,0.0
15,binary_search,61000,46,0.2018122673034668,0.0
16,sequantial_search,61000,61000,0.23036718368530273,0.0
16,advanced_sequantial_search,61000,42196,0.21817278861999512,0.0
16,binary_search,61000,46,0.20196199417114258,0.0
17,sequantial_search,61000,61000,0.2163562774658203,0.0
17,advanced_sequantial_search,61000,64636,0.21426129341125488,0.0
17,binary_search,61000,46,0.20133328437805176,0.0
18,sequantial_search,61000,61000,0.23036623001098633,0.0
18,advanced_sequantial_search,61000,110092,0.2441415786743164,0.0
18,binary_search,61000,46,0.20267057418823242,0.0
19,sequantial_search,61000,61000,0.23018860816955566,0.0
19,advanced_sequantial_search,61000,105852,0.23096108436584473,0.0
19,binary_search,61000,46,0.20211100578308105,0.0
20,sequantial_search,81000,4920,0.2047879695892334,0.0
20,advanced_sequantial_search,81000,9839,0.20963716506958008,0.0
20,binary_search,81000,47,0.20230317115783691,0.0
21,sequantial_search,81000,81000,0.2184767723083496,0.0
21,advanced_sequantial_search,81000,1208,0.2030043601989746,0.0
21,binary_search,81000,46,0.20172667503356934,0.0
22,sequantial_search,81000,81000,0.2363450527191162,0.0
22,advanced_sequantial_search,81000,156200,0.23167657852172852,0.0
22,binary_search,81000,49,0.2012922763824463,0.0
23,sequantial_search,81000,81000,0.23620176315307617,0.0
23,advanced_sequantial_search,81000,120360,0.2267909049987793,0.0
23,binary_search,81000,49,0.20211553573608398,0.0
