Algorithm,Array Size,Scenario,Comparisons,Moves,Time (s)
Selection Sort,1000,random,499500,2000,0.17886781692504883
Bubble Sort,1000,random,499500,511990,0.2986598014831543
Insertion Sort (Exchange),1000,random,256988,511990,0.2196817398071289
Insertion Sort (Shift),1000,random,256994,256994,0.14773988723754883
Selection Sort,1000,ascending,499500,2000,0.16177701950073242
Bubble Sort,1000,ascending,499500,0,0.15056371688842773
Insertion Sort (Exchange),1000,ascending,999,0,0.015669584274291992
Insertion Sort (Shift),1000,ascending,999,999,0.0
Selection Sort,1000,descending,499500,2000,0.13280963897705078
Bubble Sort,1000,descending,499500,999000,0.3972737789154053
Insertion Sort (Exchange),1000,descending,499500,999000,0.37308406829833984
Insertion Sort (Shift),1000,descending,500499,500499,0.27921342849731445
Selection Sort,10000,random,49995000,20000,14.705573558807373
Bubble Sort,10000,random,49995000,49964078,33.737661600112915
Insertion Sort (Exchange),10000,random,24992033,49964078,21.688884496688843
Insertion Sort (Shift),10000,random,24992038,24992038,13.242911338806152
Selection Sort,10000,ascending,49995000,20000,15.551611185073853
Bubble Sort,10000,ascending,49995000,0,16.754018306732178
Insertion Sort (Exchange),10000,ascending,9999,0,0.007456302642822266
Insertion Sort (Shift),10000,ascending,9999,9999,0.008932828903198242
Selection Sort,10000,descending,49995000,20000,16.455121755599976
Bubble Sort,10000,descending,49995000,99990000,43.55906939506531
Insertion Sort (Exchange),10000,descending,49995000,99990000,39.54081702232361
Insertion Sort (Shift),10000,descending,50004999,50004999,24.61823797225952
